timestamp,source,bits_length,entropy_score,shannon_entropy,min_entropy,bit_distribution,generation_time_ms,shots_used,num_qubits
2026-04-23T15:02:04.210063Z,test,16,0.985,0.98,0.975,0.5,125.5,256,2
2026-04-23T15:02:10.815757Z,synthetic_quantum,416,0.962,0.962,0.9206,0.4572,1438.88,1024,26
2026-04-23T15:02:12.071614Z,synthetic_quantum,1131,0.7049,0.6944,0.6787,0.5364,1162.11,256,29
2026-04-23T15:02:12.750286Z,synthetic_quantum,600,0.9561,0.9515,0.8804,0.4792,815.91,512,15
2026-04-23T15:02:15.528532Z,synthetic_quantum,468,0.9609,0.9489,0.8519,0.4649,4654.23,1024,26
2026-04-23T15:02:15.547094Z,synthetic_quantum,1792,0.9548,0.9394,0.8256,0.503,2103.55,512,32
2026-04-23T15:02:18.411243Z,synthetic_quantum,896,0.9816,0.9686,0.9658,0.4976,1855.44,1024,14
2026-04-23T15:02:15.418429Z,synthetic_quantum,486,0.9941,0.9756,0.914,0.5215,821.07,512,18
2026-04-23T15:02:23.859092Z,synthetic_quantum,1092,0.9562,0.9424,0.9382,0.5054,146.24,512,26
2026-04-23T15:02:20.486749Z,synthetic_quantum,1025,0.9815,0.9679,0.9243,0.5028,218.44,256,25
2026-04-23T15:02:28.194717Z,synthetic_quantum,546,0.9873,0.9744,0.8665,0.4889,496.86,1024,26
2026-04-23T15:02:20.925450Z,synthetic_quantum,900,0.9687,0.9619,0.8688,0.5429,794.89,512,15
2026-04-23T15:02:21.143703Z,synthetic_quantum,767,0.5312,0.5247,0.4984,0.4733,566.03,256,13
2026-04-23T15:02:20.750497Z,synthetic_quantum,667,0.7312,0.7285,0.6477,0.4686,4470.75,1024,23
2026-04-23T15:02:22.078605Z,synthetic_quantum,945,0.9888,0.9872,0.9135,0.4981,632.35,512,15
2026-04-23T15:02:20.335066Z,synthetic_quantum,294,0.7014,0.6982,0.6302,0.5242,416.93,1024,14
2026-04-23T15:02:35.649112Z,synthetic_quantum,464,0.6962,0.689,0.6815,0.5075,156.48,256,16
2026-04-23T15:02:23.306677Z,synthetic_quantum,740,0.6302,0.626,0.6138,0.4831,762.83,256,20
2026-04-23T15:02:20.328389Z,synthetic_quantum,234,0.9619,0.9505,0.9289,0.4678,593.18,256,13
2026-04-23T15:02:41.676864Z,synthetic_quantum,682,0.9742,0.9638,0.8451,0.4863,1050.06,256,22
2026-04-23T15:02:37.984446Z,synthetic_quantum,1003,0.9611,0.9503,0.8674,0.4644,271.54,256,17
2026-04-23T15:02:39.995871Z,synthetic_quantum,506,0.9061,0.8939,0.8868,0.4783,1078.11,256,22
2026-04-23T15:02:23.069090Z,synthetic_quantum,1624,0.7688,0.7612,0.69,0.5432,437.2,256,28
2026-04-23T15:02:32.073357Z,synthetic_quantum,1344,0.964,0.9462,0.9069,0.4703,1854.37,512,21
2026-04-23T15:02:47.943736Z,synthetic_quantum,1408,0.957,0.9519,0.9016,0.5151,475.4,1024,22
2026-04-23T15:02:41.029950Z,synthetic_quantum,364,0.9694,0.9693,0.8475,0.4623,71.9,1024,13
2026-04-23T15:02:39.819620Z,synthetic_quantum,806,0.8677,0.8567,0.7387,0.5462,627.83,256,26
2026-04-23T15:02:54.230797Z,synthetic_quantum,850,0.975,0.9584,0.857,0.5124,166.58,256,17
2026-04-23T15:02:45.507873Z,synthetic_quantum,465,0.9534,0.9418,0.8489,0.5215,614.89,512,15
2026-04-23T15:02:49.346344Z,synthetic_quantum,624,0.9539,0.9503,0.8512,0.4697,1240.62,1024,16
2026-04-23T15:02:41.842957Z,synthetic_quantum,1232,0.5963,0.5884,0.5508,0.5308,649.31,256,28
2026-04-23T15:03:09.551494Z,synthetic_quantum,1701,0.9753,0.9692,0.8867,0.4531,820.63,1024,27
2026-04-23T15:03:01.525128Z,synthetic_quantum,1008,0.969,0.955,0.8408,0.4949,1172.95,512,16
2026-04-23T15:02:41.387857Z,synthetic_quantum,896,0.9838,0.9763,0.8441,0.5239,3693.6,1024,28
